recruitType,year,ranking,name,school,committedTo,position,height,weight,stars,rating,city,stateProvince,country
HighSchool,2006,1,Andre Smith,Huffman,Alabama,OG,76,325,5,0.9993,Birmingham,AL,
HighSchool,2006,2,Percy Harvin,Landstown,Florida,WR,71,185,5,0.9989,Virginia Beach,VA,
HighSchool,2006,3,Vidal Hazelton,Hargrave Military Academy (HS),USC,WR,75,195,5,0.9984,Chatham,VA,
HighSchool,2006,4,Sergio Kindle,Woodrow Wilson,Texas,ILB,76,225,5,0.998,Dallas,TX,
HighSchool,2006,5,Myron Rolle,Hun School,Florida State,S,75,210,5,0.9977,Princeton,NJ,
HighSchool,2006,6,Matthew Stafford,Highland Park,Georgia,PRO,75,210,5,0.9975,Dallas,TX,
HighSchool,2006,7,Mitch Mustain,Springdale,Arkansas,PRO,75,205,5,0.9961,Springdale,AR,
HighSchool,2006,8,Sam Young,St. Thomas Aquinas,Notre Dame,OT,80,305,5,0.996,Fort Lauderdale,FL,
HighSchool,2006,9,Beanie Wells,Garfield,Ohio State,RB,73,225,5,0.9959,Akron,OH,
HighSchool,2006,10,Taylor Mays,O'Dea,USC,ATH,75,219,5,0.9944,Seattle,WA,
HighSchool,2006,11,Stafon Johnson,Dorsey,USC,RB,71,201,5,0.9944,Los Angeles,CA,
HighSchool,2006,12,Al Woods,Elton,LSU,DT,76,330,5,0.9938,Elton,LA,
HighSchool,2006,13,Micah Johnson,Fort Campbell,Kentucky,ILB,74,260,5,0.9932,Fort Campbell,KY,
HighSchool,2006,14,Gerald McCoy,Southeast,Oklahoma,DT,76,305,5,0.9926,Oklahoma City,OK,
HighSchool,2006,15,Brandon Graham,Crockett,Michigan,ILB,74,250,5,0.9924,Detroit,MI,
HighSchool,2006,16,Allen Bradford,Colton,USC,RB,71,220,5,0.992,Colton,CA,
HighSchool,2006,17,Tim Tebow,Ponte Vedra,Florida,DUAL,75,215,5,0.9916,Ponte Vedra Beach,FL,
HighSchool,2006,18,Eddie Jones,Kilgore,Texas,WDE,75,260,5,0.9914,Kilgore,TX,
HighSchool,2006,19,C.J. Spiller,Union County,Clemson,RB,70,185,5,0.9909,Lake Butler,FL,
HighSchool,2006,20,DeMarco Murray,Bishop Gorman,Oklahoma,RB,72,185,5,0.99,Las Vegas,NV,
HighSchool,2006,21,Antwine Perez,Camden,USC,CB,73,200,5,0.9894,Camden,NJ,
HighSchool,2006,22,Carl Johnson,Southern,Florida,OG,77,355,5,0.9882,Durham,NC,
HighSchool,2006,23,Mike Goodson,Klein Collins,Texas A&M,RB,71,190,5,0.9877,Spring,TX,
HighSchool,2006,24,C.J. Gable,Sylmar,USC,RB,72,205,5,0.9869,Sylmar,CA,
HighSchool,2006,25,James Aldridge,Crown Point,Notre Dame,RB,73,215,5,0.9863,Crown Point,IN,
HighSchool,2006,26,Ricky Sapp,Bamberg Ehrhardt,Clemson,WDE,76,225,5,0.9853,Bamberg,SC,
HighSchool,2006,27,LeSean McCoy,Bishop McDevitt,Miami,RB,71,205,5,0.985,Harrisburg,PA,
HighSchool,2006,28,Maurice Evans,Christ The King Regional,Penn State,SDE,75,245,5,0.9845,Middle Village,NY,
HighSchool,2006,29,Marcus Ball,Stone Mountain,Florida State,ILB,72,205,5,0.9841,Stone Mountain,GA,
HighSchool,2006,30,Robert Rose,Glenville,Ohio State,SDE,76,255,4,0.9831,Cleveland,OH,
HighSchool,2006,31,J'Marcus Webb,North Mesquite,Texas,OT,80,285,4,0.9815,Mesquite,TX,
HighSchool,2006,32,Jevan Snead,Stephenville,Texas,DUAL,75,205,4,0.9814,Stephenville,TX,
