recruitType,year,ranking,name,school,committedTo,position,height,weight,stars,rating,city,stateProvince,country
HighSchool,2016,1,Rashan Gary,Paramus Catholic,Michigan,DT,77,293,5,1,Paramus,NJ,
HighSchool,2016,2,Dexter Lawrence,Wake Forest,Clemson,DT,76,327,5,0.9991,Wake Forest,NC,
HighSchool,2016,3,Greg Little,Allen,Ole Miss,OT,77.5,305,5,0.9991,Allen,TX,
HighSchool,2016,4,Shea Patterson,IMG Academy,Ole Miss,PRO,73.5,192,5,0.9979,Bradenton,FL,
HighSchool,2016,5,Jacob Eason,Lake Stevens Sr,Georgia,PRO,77.5,208,5,0.9973,Lake Stevens,WA,
HighSchool,2016,6,Ed Oliver,Westfield,Houston,DT,74,277,5,0.9968,Houston,TX,
HighSchool,2016,7,Levonta Taylor,Ocean Lakes,Florida State,CB,71,182,5,0.9966,Virginia Beach,VA,
HighSchool,2016,8,Nick Bosa,St. Thomas Aquinas,Ohio State,SDE,76,265,5,0.9965,Fort Lauderdale,FL,
HighSchool,2016,9,Derrick Brown,Lanier,Auburn,DT,75.75,317,5,0.9963,Buford,GA,
HighSchool,2016,10,Ben Davis,Gordo Sch,Alabama,ILB,75,240,5,0.9951,Gordo,AL,
HighSchool,2016,11,Mique Juarez,North High School,UCLA,OLB,73.5,231,5,0.9919,Torrance,CA,
HighSchool,2016,12,Isaac Nauta,IMG Academy,Georgia,TE,75.25,244,5,0.9903,Buford,GA,
HighSchool,2016,13,Mecole Hardman Jr.,Elbert County,Georgia,ATH,70,169,5,0.9902,Elberton,GA,
HighSchool,2016,14,Demetris Robertson,Savannah Christian Prep,California,WR,71.75,175,5,0.9895,Savannah,GA,
HighSchool,2016,15,Mack Wilson,Carver,Alabama,OLB,74,220,5,0.9879,Montgomery,AL,
HighSchool,2016,16,Oluwole Betiku,Junipero Serra,USC,WDE,75.5,240,5,0.9875,Gardena,CA,
HighSchool,2016,17,Jonah Williams,Folsom,Alabama,OT,77,296,5,0.9873,Folsom,CA,
HighSchool,2016,18,McTelvin Agim,Hope,Arkansas,SDE,74.5,268,5,0.9868,Hope,AR,
HighSchool,2016,19,Jeffery Simmons,Noxubee County,Mississippi State,SDE,75.5,277,5,0.9862,Macon,MS,
HighSchool,2016,20,Miles Sanders,Woodland Hills,Penn State,RB,71,199,5,0.9858,Pittsburgh,PA,
HighSchool,2016,21,Kristian Fulton,Archbishop Rummel,LSU,CB,72,177,5,0.9857,Metairie,LA,
HighSchool,2016,22,Jack Jones,Long Beach Poly,USC,CB,71,164,5,0.9856,Long Beach,CA,
HighSchool,2016,23,Rashard Lawrence,Neville,LSU,DT,75,305,5,0.9846,Monroe,LA,
HighSchool,2016,24,Benito Jones,Wayne County,Ole Miss,DT,74,285,5,0.9842,Waynesboro,MS,
HighSchool,2016,25,Caleb Kelly,Clovis West,Oklahoma,OLB,75.25,215,5,0.9836,Fresno,CA,
HighSchool,2016,26,Antonneous Clayton,Dooly County,Florida,WDE,75,218,4,0.9821,Vienna,GA,
HighSchool,2016,27,Tommy Kraemer,Elder,Notre Dame,OT,77.5,309,4,0.9819,Cincinnati,OH,
HighSchool,2016,28,Michal Menet,Exeter Township,Penn State,OG,77,283,4,0.9808,Reading,PA,
HighSchool,2016,29,Tavien Feaster,Spartanburg,Clemson,APB,71,196,4,0.9807,Spartanburg,SC,
HighSchool,2016,30,Marlon Davidson,Greenville,Auburn,SDE,76,260,4,0.9807,Montgomery,AL,
HighSchool,2016,31,Landon Dickerson,South Caldwell,Florida State,OT,77,300,4,0.9803,Hudson,NC,
HighSchool,2016,32,Jonathon Cooper,Gahanna Lincoln,Ohio State,WDE,74.25,234,4,0.9801,Columbus,OH,
HighSchool,2016,33,Tyrie Cleveland,Westfield,Florida,WR,74.5,189,4,0.9801,Houston,TX,
HighSchool,2016,34,Tyler Vaughns,Bishop Amat,USC,WR,73.5,177,4,0.98,La Puente,CA,
HighSchool,2016,35,B.J. Emmons,Freedom,Alabama,RB,70,232,4,0.9799,Morganton,NC,
HighSchool,2016,36,Devin Duvernay,Sachse,Texas,WR,71,195,4,0.9796,Sachse,TX,
HighSchool,2016,37,Kaden Smith,Marcus,Stanford,TE,77.5,235,4,0.9794,Flower Mound,TX,
HighSchool,2016,38,A.J. Brown,Starkville,Ole Miss,WR,73,220,4,0.9792,Starkville,MS,
HighSchool,2016,39,Ben Bredeson,Arrowhead,Michigan,OT,77,307,4,0.979,Hartland,WI,
HighSchool,2016,40,Brandon Jones,Nacogdoches,Texas,S,71.5,193,4,0.9786,Nacogdoches,TX,
