recruitType,year,ranking,name,school,committedTo,position,height,weight,stars,rating,city,stateProvince,country
HighSchool,2010,1,Ronald Powell,Rancho Verde,Florida,WDE,76,230,5,0.9999,Moreno Valley,CA,
HighSchool,2010,2,Seantrel Henderson,Cretin Derham Hall,Miami,OT,80,330,5,0.9987,Saint Paul,MN,
HighSchool,2010,3,Robert Woods,Junipero Serra,USC,ATH,73,180,5,0.9986,Gardena,CA,
HighSchool,2010,4,Dominique Easley,Curtis,Florida,DT,75,258,5,0.9978,Staten Island,NY,
HighSchool,2010,5,Jackson Jeffcoat,Plano West,Texas,SDE,75,230,5,0.9976,Plano,TX,
HighSchool,2010,6,Sharrif Floyd,George Washington,Florida,SDE,75,310,5,0.9966,Philadelphia,PA,
HighSchool,2010,7,Jordan Hicks,Lakota West,Texas,OLB,74,220,5,0.9961,West Chester,OH,
HighSchool,2010,8,Michael Dyer,Little Rock Christian Academy,Auburn,RB,69,212,5,0.996,Little Rock,AR,
HighSchool,2010,9,Marcus Lattimore,Byrnes,South Carolina,APB,72,215,5,0.995,Duncan,SC,
HighSchool,2010,10,Keenan Allen,Northern Guilford,California,S,74,195,5,0.9944,Greensboro,NC,
HighSchool,2010,11,Kyle Prater,Proviso West,USC,WR,77,205,5,0.9941,Hillside,IL,
HighSchool,2010,12,Lamarcus Joyner,St. Thomas Aquinas,Florida State,ATH,68,175,5,0.994,Miami,FL,
HighSchool,2010,13,Mike Davis,Skyline,Texas,WR,73,185,5,0.9938,Dallas,TX,
HighSchool,2010,14,Dee Milliner,Stanhope Elmore,Alabama,CB,73,196,5,0.993,Millbrook,AL,
HighSchool,2010,15,Matt Elam,Dwyer,Florida,S,72,205,5,0.9923,Palm Beach Gardens,FL,
HighSchool,2010,16,Da'Rick Rogers,Calhoun,Tennessee,WR,75,215,5,0.9922,Calhoun,GA,
HighSchool,2010,17,Owamagbe Odighizuwa,Douglas,UCLA,SDE,75,234,5,0.9909,Portland,OR,
HighSchool,2010,18,William Gholston,Southeastern,Michigan State,SDE,79,237,5,0.9892,Detroit,MI,
HighSchool,2010,19,Alec Ogletree,Newnan,Georgia,ILB,75,210,5,0.9885,Newnan,GA,
HighSchool,2010,20,Xavier Grimble,Bishop Gorman,USC,TE,78,245,5,0.9873,Las Vegas,NV,
