recruitType,year,ranking,name,school,committedTo,position,height,weight,stars,rating,city,stateProvince,country
HighSchool,2020,1,Bryan Bresee,Damascus,Clemson,DT,77,290,5,0.9995,Damascus,MD,
HighSchool,2020,2,Bryce Young,Mater Dei,Alabama,DUAL,71,183,5,0.9994,Santa Ana,CA,
HighSchool,2020,3,Julian Fleming,Southern Columbia,Ohio State,WR,74,199,5,0.9979,Catawissa,PA,
HighSchool,2020,4,Kelee Ringo,Saguaro,Georgia,CB,74,205,5,0.9976,Scottsdale,AZ,
HighSchool,2020,5,Arik Gilbert,Marietta,LSU,TE,77,253,5,0.9972,Marietta,GA,
HighSchool,2020,6,Justin Flowe,Upland,Oregon,ILB,74,225,5,0.9967,Upland,CA,
HighSchool,2020,7,Myles Murphy,Hillgrove,Clemson,SDE,77,260,5,0.9965,Powder Springs,GA,
HighSchool,2020,8,Jordan Burch,Hammond School,South Carolina,DT,77,275,5,0.9954,Columbia,SC,
HighSchool,2020,9,Paris Johnson Jr.,Princeton,Ohio State,OT,79,290,5,0.9953,Cincinnati,OH,
HighSchool,2020,10,DJ Uiagalelei,St. John Bosco,Clemson,PRO,76.5,246,5,0.9949,Bellflower,CA,
HighSchool,2020,11,Broderick Jones,Lithonia,Georgia,OT,77,298,5,0.9947,Lithonia,GA,
HighSchool,2020,12,Gervon Dexter,Lake Wales,Florida,DT,78.5,286,5,0.9946,Lake Wales,FL,
HighSchool,2020,13,Noah Sewell,Orem,Oregon,ILB,74,266,5,0.9935,Orem,UT,
HighSchool,2020,14,Elias Ricks,IMG Academy,LSU,CB,74,192,5,0.9928,Rancho Cucamonga,CA,
HighSchool,2020,15,Bijan Robinson,Salpointe Catholic,Texas,RB,72,200,5,0.9928,Tucson,AZ,
HighSchool,2020,16,Zachary Evans,North Shore,,RB,71,200,5,0.9925,Houston,TX,
HighSchool,2020,17,Will Anderson,Dutchtown,Alabama,WDE,75,230,5,0.9913,Hampton,GA,
HighSchool,2020,18,Jalen Carter,Apopka,Georgia,DT,75,301,5,0.9913,Apopka,FL,
HighSchool,2020,19,Chris Braswell,St. Frances Academy,Alabama,WDE,75,220,5,0.9911,Baltimore,MD,
HighSchool,2020,20,Demarkcus Bowman,Lakeland,Clemson,RB,69,191,5,0.991,Lakeland,FL,
HighSchool,2020,21,Jaylon Jones,Steele,Texas A&M,S,73.5,190,5,0.9907,Cibolo,TX,
HighSchool,2020,22,Drew Sanders,Ryan,Alabama,ATH,77,232,5,0.9897,Denton,TX,
HighSchool,2020,23,Darnell Washington,Desert Pines,Georgia,ATH,79.5,261,5,0.9894,Las Vegas,NV,
HighSchool,2020,24,Kayshon Boutte,Westgate,LSU,WR,72,180,5,0.9894,New Iberia,LA,
HighSchool,2020,25,Demond Demas,Tomball,Texas A&M,WR,75,182,5,0.989,Tomball,TX,
HighSchool,2020,26,Trenton Simpson,Mallard Creek,Clemson,OLB,75,224,5,0.9871,Charlotte,NC,
HighSchool,2020,27,Rakim Jarrett,St. John's,Maryland,WR,72,208,5,0.987,Washington,DC,
HighSchool,2020,28,Jaxon Smith-Njigba,Rockwall,Ohio State,WR,73,188,5,0.9856,Rockwall,TX,
HighSchool,2020,29,Sav'ell Smalls,Kennedy Catholic,Washington,WDE,76,244,5,0.9845,,WA,
HighSchool,2020,30,Dontae Manning,Raytown,Oregon,CB,72,185,5,0.9842,Kansas City,MO,
HighSchool,2020,31,Michael Mayer,Covington Catholic,Notre Dame,TE,76,232,5,0.9835,Alexandria,KY,
HighSchool,2020,32,Mekhail Sherman,St. John's,Georgia,OLB,75,234,4,0.9833,Washington,DC,
HighSchool,2020,33,Demonte Capehart,IMG Academy,Clemson,DT,76.5,295,4,0.9832,Hartsville,SC,
HighSchool,2020,34,Demorie Tate,Freedom,Florida State,CB,73,189,4,0.983,Orlando,FL,
HighSchool,2020,35,Curtis Jacobs,McDonogh School,Penn State,OLB,74,220,4,0.9825,Owings Mills,MD,
HighSchool,2020,36,Jordan Johnson,DeSmet,Notre Dame,WR,73,182,4,0.9825,Saint Louis,MO,
HighSchool,2020,37,Tate Ratledge,Darlington School,Georgia,OT,78,322,4,0.9822,Rome,GA,
HighSchool,2020,38,Demouy Kennedy,Theodore,Alabama,ILB,75,215,4,0.982,Theodore,AL,
HighSchool,2020,39,Tank Bigsby,Callaway,Auburn,RB,72,210,4,0.9817,Hogansville,GA,
HighSchool,2020,40,Jaquelin Roy,University Lab,LSU,DT,75.5,289,4,0.9805,Baton Rouge,LA,
HighSchool,2020,41,CJ Stroud,Rancho Cucamonga,Ohio State,PRO,74.5,194,4,0.9781,Rancho Cucamonga,CA,
HighSchool,2020,42,MarShawn Lloyd,DeMatha Catholic,South Carolina,RB,69,211,4,0.9781,Hyattsville,MD,
HighSchool,2020,43,Desmond Evans,Lee County,North Carolina,WDE,78,240,4,0.9777,Sanford,NC,
HighSchool,2020,44,Avantae Williams,Deland,Miami,S,71,170,4,0.9769,Deland,FL,
HighSchool,2020,45,Gary Bryant Jr.,Centennial,USC,WR,70.5,164,4,0.9769,Corona,CA,
HighSchool,2020,46,Jase McClellan,Aledo,Alabama,RB,70.5,202,4,0.9757,Aledo,TX,
HighSchool,2020,47,Turner Corcoran,Lawrence Free State,Nebraska,OT,78,280,4,0.9751,Lawrence,KS,
HighSchool,2020,48,Donell Harris,Gulliver Prep,Texas A&M,WDE,76,216,4,0.9748,Miami,FL,
HighSchool,2020,49,Walker Parks,Frederick Douglass,Clemson,OT,77,275,4,0.9747,Lexington,KY,
HighSchool,2020,50,Clark Phillips III,La Habra,Utah,CB,70.5,178,4,0.9747,La Habra,CA,
HighSchool,2020,51,Justin Rogers,Oak Park,Kentucky,DT,74.5,311,4,0.9745,Oak Park,MI,
HighSchool,2020,52,Fred Davis II,Trinity Christian Academy,Clemson,CB,72,192,4,0.9743,Jacksonville,FL,
HighSchool,2020,53,Kendall Milton,Buchanan,Georgia,RB,73.5,215,4,0.974,Clovis,CA,
HighSchool,2020,54,Marcus Rosemy,St. Thomas Aquinas,Georgia,WR,74,195,4,0.9737,Fort Lauderdale,FL,
HighSchool,2020,55,Timothy Smith,Sebastian River,Alabama,DT,76,320,4,0.9732,Sebastian,FL,
HighSchool,2020,56,Phillip Webb,Lanier,LSU,OLB,75.5,224,4,0.9728,Buford,GA,
HighSchool,2020,57,Hudson Card,Lake Travis,Texas,DUAL,74.5,179,4,0.9724,Austin,TX,
HighSchool,2020,58,Arian Smith,Lakeland,Georgia,WR,73,170,4,0.9723,Lakeland,FL,
HighSchool,2020,59,Sedrick Van Pran,Warren Easton,Georgia,OC,76,305,4,0.9715,New Orleans,LA,
HighSchool,2020,60,Brian Branch,Sandy Creek,Alabama,S,71,185,4,0.9712,Tyrone,GA,
HighSchool,2020,61,McKinnley Jackson,George County,Texas A&M,DT,74,327,4,0.9711,Lucedale,MS,
HighSchool,2020,62,Alfred Collins,Cedar Creek,Texas,SDE,77,284,4,0.9708,Bastrop,TX,
HighSchool,2020,63,Derek Wingo,St. Thomas Aquinas,Florida,OLB,74,210,4,0.9706,Fort Lauderdale,FL,
HighSchool,2020,64,Quandarrius Robinson,Jackson-Olin,Alabama,OLB,77,217,4,0.9705,Birmingham,AL,
HighSchool,2020,65,Gee Scott Jr.,Eastside Catholic,Ohio State,WR,74.5,207,4,0.9703,Sammamish,WA,
HighSchool,2020,66,Xzavier Henderson,Columbus,Florida,WR,75.5,180,4,0.9703,Miami,FL,
HighSchool,2020,67,Jalen McMillan,San Joaquin Memorial,Washington,WR,74,182,4,0.9702,Fresno,CA,
