recruitType,year,ranking,name,school,committedTo,position,height,weight,stars,rating,city,stateProvince,country
HighSchool,2005,1,Eugene Monroe,Plainfield,Virginia,OT,78,320,5,0.9992,Plainfield,NJ,
HighSchool,2005,2,Patrick Turner,Goodpasture Christian School,USC,WR,77,205,5,0.9992,Madison,TN,
HighSchool,2005,3,Mark Sanchez,Agape Academy,USC,PRO,76,210,5,0.9988,Mission Viejo,CA,
HighSchool,2005,4,Derrick Williams,Eleanor Roosevelt,Penn State,WR,72,190,5,0.9986,Greenbelt,MD,
HighSchool,2005,5,Fred Rouse,Lincoln,Florida State,WR,76,195,5,0.998,Tallahassee,FL,
HighSchool,2005,6,Ryan Perrilloux,East St. John,LSU,DUAL,74,205,5,0.9968,Reserve,LA,
HighSchool,2005,7,DeMarcus Granger,Kimball,Oklahoma,DT,75,315,5,0.9964,Dallas,TX,
HighSchool,2005,8,Reggie Youngblood,Booker T Washington,Miami,OT,77,280,5,0.996,Houston,TX,
HighSchool,2005,9,Kenneth Phillips,Miami Carol City,Miami,S,74,195,5,0.996,Opa Locka,FL,
HighSchool,2005,10,Rey Maualuga,Eureka,USC,ILB,74,255,5,0.9958,Eureka,CA,
HighSchool,2005,11,Tray Blackmon,LaGrange,Auburn,OLB,72,200,5,0.9956,Lagrange,GA,
HighSchool,2005,12,Jonathan Stewart,Timberline,Oregon,RB,70,225,5,0.9952,Lacey,WA,
HighSchool,2005,13,Demetrice Morley,Killian,Tennessee,CB,72,180,5,0.9952,Miami,FL,
HighSchool,2005,14,Marlon Lucky,North Hollywood Senior,Nebraska,RB,72,205,5,0.995,North Hollywood,CA,
HighSchool,2005,15,Justin King,Gateway,Penn State,CB,72,185,5,0.9942,Monroeville,PA,
HighSchool,2005,16,Martellus Bennett,Alief Taylor,Texas A&M,TE,79,240,5,0.9936,Houston,TX,
HighSchool,2005,17,Alex Boone,St. Edward,Ohio State,OT,80,295,5,0.9934,Lakewood,OH,
HighSchool,2005,18,Callahan Bright,Harriton,Florida State,DT,74,315,5,0.9932,Bryn Mawr,PA,
