recruitType,year,ranking,name,school,committedTo,position,height,weight,stars,rating,city,stateProvince,country
HighSchool,2004,1,Adrian Peterson,Palestine,Oklahoma,RB,74,210,5,0.9996,Palestine,TX,
HighSchool,2004,2,Ted Ginn Jr.,Glenville,Ohio State,CB,72,170,5,0.9992,Cleveland,OH,
HighSchool,2004,3,Willie Williams,Miami Carol City,Miami,OLB,74,225,5,0.9988,Opa Locka,FL,
HighSchool,2004,4,Rhett Bomar,Grand Prairie,Oklahoma,PRO,76,205,5,0.9982,Grand Prairie,TX,
HighSchool,2004,5,Brandon Miller,Miller County,Georgia,WDE,76,225,5,0.998,Coolidge,GA,
HighSchool,2004,6,Early Doucet,St. Martinville Senior,LSU,WR,73,207,5,0.998,Saint Martinville,LA,
HighSchool,2004,7,Keith Rivers,Lake Mary,USC,ILB,74,215,5,0.997,Lake Mary,FL,
HighSchool,2004,8,Xavier Lee,Seabreeze,Florida State,DUAL,76,200,5,0.9964,Daytona Beach,FL,
HighSchool,2004,9,Jeff Byers,Loveland,USC,OC,76,280,5,0.9962,Loveland,CO,
HighSchool,2004,10,Jeff Schweiger,Valley Christian,USC,WDE,77,245,5,0.996,San Jose,CA,
HighSchool,2004,11,Derrick Harvey,Eleanor Roosevelt,Florida,WDE,77,235,5,0.9956,Greenbelt,MD,
HighSchool,2004,12,DeMario Pressley,Dudley,NC State,DT,76,285,5,0.9946,Greensboro,NC,
HighSchool,2004,13,Fred Davis,Rogers,USC,WR,76,210,5,0.9944,Toledo,OH,
HighSchool,2004,14,Dan Connor,Strath Haven,Penn State,ILB,75,215,5,0.9944,Wallingford,PA,
HighSchool,2004,15,Anthony Morelli,Penn Hills,Penn State,PRO,76,208,5,0.9936,Pittsburgh,PA,
HighSchool,2004,16,Cameron Colvin,De La Salle,Oregon,WR,74,193,5,0.9932,Concord,CA,
HighSchool,2004,17,Xavier Carter,Palm Bay Senior,LSU,WR,75,190,5,0.993,Melbourne,FL,
HighSchool,2004,18,Chad Henne,Wilson,Michigan,PRO,75,210,5,0.9924,Reading,PA,
HighSchool,2004,19,Brian Toal,Don Bosco Prep,Boston College,ILB,74,228,5,0.992,Ramsey,NJ,
HighSchool,2004,20,Frank Okam,Lake Highlands,Texas,DT,77,300,5,0.9918,Dallas,TX,
HighSchool,2004,21,Charles Johnson,Hawkinsville,Georgia,WDE,75,240,5,0.991,Hawkinsville,GA,
HighSchool,2004,22,Kyle Williams,Bolingbrook,Iowa,OLB,74,217,5,0.9908,Bolingbrook,IL,
HighSchool,2004,23,Calvin Johnson,Sandy Creek,Georgia Tech,WR,76,210,5,0.9902,Tyrone,GA,
HighSchool,2004,24,Lance Leggett,Grace Preparatory Academy,Miami,WR,76,180,5,0.9896,Arlington,TX,
HighSchool,2004,25,Zach Miller,Desert Vista,Arizona State,TE,76,240,5,0.9892,Phoenix,AZ,
HighSchool,2004,26,Matt Tuiasosopo,Woodinville,Washington,DUAL,74,200,5,0.989,Woodinville,WA,
