recruitType,year,ranking,name,school,committedTo,position,height,weight,stars,rating,city,stateProvince,country
HighSchool,2002,1,Vince Young,Madison,Texas,DUAL,77,200,5,1,Houston,TX,
HighSchool,2002,2,Lorenzo Booker,St. Bonaventure,Florida State,APB,70,180,5,0.9992,Ventura,CA,
HighSchool,2002,3,Ryan Moore,Dr. Phillips,Miami,WR,75,185,5,0.9986,Orlando,FL,
HighSchool,2002,4,Chris Davis,St. Petersburg,Florida State,ATH,70,170,5,0.998,Saint Petersburg,FL,
HighSchool,2002,5,Ben Olson,Hillcrest Christian School,BYU,PRO,76,205,5,0.998,Thousand Oaks,CA,
HighSchool,2002,6,Gerald Riggs Jr.,Red Bank,Tennessee,RB,72,220,5,0.997,Chattanooga,TN,
HighSchool,2002,7,Rodrique Wright,Alief Hastings,Texas,DT,77,330,5,0.997,Houston,TX,
HighSchool,2002,8,Ciatrick Fason,Duncan U. Fletcher,Florida,RB,72,210,5,0.997,Neptune Beach,FL,
HighSchool,2002,9,Reggie McNeal,Lufkin,Texas A&M,ATH,73,210,5,0.997,Lufkin,TX,
HighSchool,2002,10,Haloti Ngata,Highland,Oregon,DT,77,310,5,0.9962,Salt Lake City,UT,
HighSchool,2002,11,Leon Washington,Andrew Jackson,Florida State,CB,68,180,5,0.9946,Jacksonville,FL,
HighSchool,2002,12,Michael Johnson,Heritage,Virginia,RB,70,180,5,0.9942,Newport News,VA,
HighSchool,2002,13,Nathan Rhodes,East Bakersfield,Washington,OT,79,305,5,0.9938,Bakersfield,CA,
HighSchool,2002,14,Brandon Jefferies,Crest,Tennessee,OG,77,265,5,0.9934,Shelby,NC,
HighSchool,2002,15,Pat Watkins,Lincoln,Florida State,S,75,190,5,0.9926,Tallahassee,FL,
HighSchool,2002,16,Mike D'Andrea,Avon Lake,Ohio State,ILB,75,230,5,0.9926,Avon Lake,OH,
HighSchool,2002,17,Ricardo Hurley,Greenwood,South Carolina,ILB,73,235,5,0.9924,Greenwood,SC,
HighSchool,2002,18,DiShon Platt,Charlotte,Florida State,WR,72,170,5,0.9922,Punta Gorda,FL,
HighSchool,2002,19,Justin Blalock,Plano East,Texas,OG,76,325,5,0.9922,Plano,TX,
HighSchool,2002,20,Ahmad Brooks,C. D. Hylton,Virginia,OLB,75,230,5,0.9914,Woodbridge,VA,
