recruitType,year,ranking,name,school,committedTo,position,height,weight,stars,rating,city,stateProvince,country
HighSchool,2019,1,Nolan Smith,IMG Academy,Georgia,WDE,75,227,5,0.9994,Bradenton,FL,
HighSchool,2019,2,Kayvon Thibodeaux,Oaks Christian,Oregon,WDE,76.5,239,5,0.9987,Thousand Oaks,CA,
HighSchool,2019,3,Derek Stingley,Dunham School,LSU,CB,72.5,188,5,0.998,Baton Rouge,LA,
HighSchool,2019,4,Jadon Haselwood,Cedar Grove,Oklahoma,WR,74.5,196,5,0.9967,Ellenwood,GA,
HighSchool,2019,5,Antonio Alfano,Colonia,Alabama,SDE,76,285,5,0.9965,Colonia,NJ,
HighSchool,2019,6,Trey Sanders,IMG Academy,Alabama,RB,72,214,5,0.9963,Bradenton,FL,
HighSchool,2019,7,Evan Neal,IMG Academy,Alabama,OT,79.5,360,5,0.9946,Bradenton,FL,
HighSchool,2019,8,Zacch Pickens,T L Hanna,South Carolina,DT,75,293,5,0.9946,Anderson,SC,
HighSchool,2019,9,Bru McCoy,Mater Dei,Texas,ATH,74,205,5,0.9944,Santa Ana,CA,
HighSchool,2019,10,Darnell Wright,Huntington,Tennessee,OT,78,320,5,0.9944,Huntington,WV,
HighSchool,2019,11,Spencer Rattler,Pinnacle,Oklahoma,PRO,73,192,5,0.9942,Phoenix,AZ,
HighSchool,2019,12,Zach Harrison,Olentangy Orange,Ohio State,SDE,77,253,5,0.9933,Lewis Center,OH,
HighSchool,2019,13,John Emery Jr.,Destrehan,LSU,RB,71,206,5,0.9929,Destrehan,LA,
HighSchool,2019,14,Daxton Hill,Booker T. Washington,Michigan,S,72.5,186,5,0.9927,Tulsa,OK,
HighSchool,2019,15,Kenyon Green,Atascocita,Texas A&M,OT,76.5,322,5,0.9926,Humble,TX,
HighSchool,2019,16,DeMarvin Leal,Judson,Texas A&M,DT,76,289,5,0.992,Converse,TX,
HighSchool,2019,17,Logan Brown,East Kentwood,Wisconsin,OT,78,305,5,0.9915,Grand Rapids,MI,
